annotation_id;source_json;caption;Maschine_Label;manual_plot;manual_photo;manual_diagram;unclear;notes;manual_label
312;10.1101_2025.04.13.648583.json;Fig.4. The Resistance Nexus: A Multifaceted Network of Genetic Determinants in Antibiotic Efficacy;;;;1;;;Diagram
314;10.1101_2025.05.30.657108.json;Figure 5: Panels depicting some of the problems with clustering in the DNA and AA spaces and how we get different results from different methods. Panels A and B report the BLAST alignments of sequences ENSB s-GX UiVmBsWL9K and ENSB Vyjslictzez3CNX in DNA and AA, respectively, where both reported a higher than 90% percentage identity. Panels C and D report the multiple sequence alignment conducted by Clustal Omega in DNA and AA respectively but reporting a percentage identity of less than 90%.;;1;;;;;Plot
315;10.1101_2024.09.19.613896.json;Figure 1: Cross-validation results heatmap sorted by total dataset size, with datasets below 100 samples excluded. Cancer datasets exceeding 1000 samples consistently lead to high predictive performance. Notably, UCEC, SKCM, and READ emerge as top performers, achieving F1 scores of 88%, 90%, and 88%, respectively. Despite their smaller sizes, datasets like SKCA also performed well.;;1;;;;;Plot
317;10.1101_2025.04.05.647323.json;Figure 5. Correspondence between behavioral responses and story content features.;;1;;;;;Plot
318;10.1101_2025.10.01.679811.json;"(which was not certified by peer review) is the author/funder. All rights reserved. No reuse allowed without permission. bioRxiv preprint doi: https://doi.org/10.1101/2025.10.01.679811; this version posted October 6, 2025. The copyright holder for this preprint";;1;;;;;Plot
319;10.1101_2025.05.06.652517.json;Figure 1. Workflow and architecture for bonds reconstruction using a graph neural network.;;;;1;;;Diagram
321;10.1101_2025.01.17.633399.json;"Supplementary Figure S3: de novo motifs found for FOXA1 via NoPeak . Highquality ASBs are coloured in blue. CAR (x-axis) is the corrected allelic ratio calculated by BaalChIP for a heterozygous SNP lying within a ChIP-Seq peak; MSD (y-axis) is the motif score difference for each SNP mapped to the labeled motif.";;1;;;;;Plot
323;10.1101_2025.06.20.660802.json;Figure S1: Graph representations of the state transitions in the four motifs studied in the main text: (A) random interactions, (B) non-transitive competition, (C) apparent competition, and (D) intraguild competition. Each of the systems is a single patch with three species. Each node represents a state of the system labeled by a binary vector that denotes whether each species is present. The thickness of an arrow between two nodes corresponds to the rate of transition between the states, calculated from simulations of over 10000 time steps. The thickness is relatively homogeneous in the random interactions motif, showing that the system is near equilibrium. In contrast, there is a dominant cycle in the non-transitive competition motif, showing that the system is far from equilibrium.;;;;1;;;Diagram
324;10.1101_2025.03.24.645017.json;Figure 4: Modified RNA regulation underlying CHIP-resilience in human HSCs.;;1;;1;;;Plot+Diagram
325;10.1101_2024.09.08.611926.json;Figure 4: Distribution of relative 95% confidence intervals per method and rank match. 95% confidence intervals were scaled by estimated size. Rank match refers to the smallest rank in common between the query and the closest database entry with a valid genome size.;;1;;;;;Plot
326;10.1101_2024.12.19.629375.json;Fig. 4. Interactions of PI(4,5)P2 with class B1 GPCRs. ( A) Alignment of top ranked PyLipID PI(4,5)P2 interaction sites across all 15 receptors from cgMD simulation and Chai-1. The view shown is from the cytoplasmic side onto the base of the active (green) and inactive (blue) states of the CTR. Spheres represent PI(4,5)P2 headgroups for the top ranked interaction sites extracted from simulations of active (dark magenta) and inactive (light pink) states of all 15 class B1 GPCRs. Chai-1 predicted an active state for all 15 receptors. For each receptor, five Chai-1 models were generated, each containing three PI(4,5)P2 poses. This yielded 15 poses per receptor, and 225 poses overall. Only poses within the inner leaflet were considered. ( C ) Highest residence time PI(4,5)P2 site in the GIPR active state corresponding to TM6/7, and H8. Residues in contact with the PI(4,5)P2 are labelled. ( D ) Highest residence time PI(4,5)P2 binding site in the inactive GIPR receptor, with residues in contact with the lipid headgroup shown .;;1;;1;;;Plot+Diagram
327;10.1101_2025.08.04.668590.json;Figure 3. Sheet aggregates have a similar diffraction signature to OCP-like elongated plate HA precursors. (A) LDSAED of a sheet aggregate from 1 DIV rat cortical neurons and synthesized OCP-like elongated plates. Top image of pair is the electron diffraction micrograph depicting a maximum spatial frequency of 1/1.0 Å -1 in the full image and 1/2.4 Å -1 in the inset. Reference radial curve in the inset image corresponds to 1/4 Å -1 . The white arrow is emphasizing the broad band between ~1/2.6 Å -1 - 1/3.3 Å -1 observed previously in OCP-like elongated plates (Habraken et al., 2013). Scale bars = 200 nm. (B) Ratio of radially averaged full or partial electron diffraction image intensities from (A) over each group's respective background image. The x-axis has been converted to d spacing (1/q) and the arrow indicates the broad ~2.6-3.3 Å peak.;;1;1;;;;Plot+Photo
328;10.1101_2025.06.16.659879.json;"Figure 3. Reduction and re-oxidation kinetics and radical formation in the aromatic protein core in the absence of a polysaccharide substrate. ( A ) Transient state kinetics for reduction of LPMOCu 2+ with ascorbate at 25 °C ( N = 4). ( B ) Transient state kinetics for oxidation of LPMO-Cu + with H 2 O 2 at 25 °C ( N ≥ 3). Dashed lines in (A-B) show linear regression of the data; slopes, defining the apparent second order rate constants, are presented in Table S7. ( C ) Maximum H 2 O 2 turned over in reactions with 200 µM ascorbate, 100 mM KCl and 100 µM initial H 2 O 2 without substrate at 30 °C ( N ≥ 2). Dashed lines show linear regression of the data; slopes define n max (listed in Table S8). ( D ) Initial rate of H 2 O 2 turnover derived from the experiments performed to produce (C). Dashed lines show linear regression of the data; slopes represent the apparent turnover number (TN, s -1 ) (Table S8). Example curves underlying data in (C-D) are shown in Fig. S11. ( E-H ) Absorbance spectra for Anc2 (E), Anc3 (F), Anc4 (G) and Sm AA10A (H) after mixing LPMO-Cu + with 20 molar equivalents of H 2 O 2 at 4 °C in the absence of chitin. The panels show spectra for the decay of the features; spectra for the initial phase of the reactions (formation of the features) are shown in Fig. S12. Panels E-H show ten spectra for each enzyme, spanning the time of maximum absorbance at 415 nm to full decay. The time to full decay is shown in the box in each panel. Traces are means ( N ≥ 3; technical replicates); errors are not shown for the sake of clarity. Note the different scale of the ordinate axis in (H). ( I ) Time-resolved absorbance at 415 nm derived from the data in panels E-H and Figs. S12-S13. ( J ) The decay rate of the 415 nm absorbance signal extracted from non-linear modelling of the data in (I), illustrated in more detail in Fig. S14. ( K ) Overlay of the aromatic cores of Anc2-4 and Sm AA10A from predicted models generated by AlphaFold3 ( 33 ) and refined using Rosetta Relax ( 40 ). Distances (in angstroms) between residues are for Sm AA10A. Copper ions are shown as orange spheres. Note that Trp92 has the same orientation in Anc2 and Anc3; also note that all shown histidines are close to the protein surface. The color scheme shown in panel K applies to all panels. Error bars in (A-D) and (I-J) are SDs. All reactions were performed in 50 mM sodium phosphate, pH 7.0. Abbreviations: F, Phe; H, His; W, Trp; Y, Tyr; SDs, standard deviations; λ, wavelength; A.U., arbitrary units.";;1;;1;;;Plot+Diagram
329;10.1101_2022.03.28.486070.json;"Figure 4 - figure supplement 1 | PACE alone or in the context of the S. lycopersicum NIN promoter (a species outside of the FaFaCuRo clade) enables IT formation in the cortex. ( A - D ) Representative pictures of sections of nodules formed on L. japonicus nin-15 roots transformed with T-DNAs carrying a Ubq10 pro :NLSGFP transformation marker together with the LjNIN gene driven by either of the following promoters: ( A - B ) the L. japonicus NIN minimal promoter ( NINmin pro ) or PACE fused to NINmin pro ( PACE:NINmin pro ); ( C - D ) the 3 kb S. lycopersicum NIN promoter ( SlNIN pro ), the 3 kb SlNIN promoter with mutated PACE ( SlNIN pro ::mPACE ) or with L. japonicus PACE inserted ( SlNIN pro ::PACE ), 21 dpi with M. loti Ds Red (from the same experiments depicted in Figure 4 ). Black rectangles in ( A ) demarcate the enlarged area displayed in Figure 4A and 4B to focus on the initial infection structures. Note the absence of cells filled with symbiosomes in nodules transformed with the LjNIN gene driven by PACE:NINmin pro or NINmin pro . By contrast, infected cells were often filled with symbiosomes in the SlNIN pro ::PACE:NINtransformed nodules, like those resulted by NIN pro :NIN (see ( C ) and compare the two sections in ( D )) . ( E - F ) Boxplots displaying the percentage of root hair ITs among total infection events (sum of bacterial entrapments and ITs) or the percentage of infected nodules among total number of nodules ( E ) 21 dpi and ( F ) 35 dpi with M. loti Ds Red, respectively. Each dot represents one nin-15 transgenic root system or root piece. ( E ) displays results from an independent repetition from the experiment depicted in Figure 4 . n: number of transgenic root systems or root pieces analysed. Numbers above the boxplots: the value of individual data points outside of the plotting area. The applied statistical method was Fisher's exact test: * p < 0.05; *** p < 0.001; n.s.: not significant. Bars, ( A and C ) 100 μm; ( B and D ) 50 μm.";;1;1;;;;Plot+Photo
330;10.1101_2025.09.25.678545.json;Figure 3: Task dependency graph for BindFlow. Each rectangle represents a task (or group of tasks), while arrows indicate dependencies between them. Some tasks are shared between methodologies. Purple boxes correspond to ligand-in-solvent FEP simulations, and green boxes to protein-ligand complex FEP simulations. The darkest blue boxes denote MM(PB/GB)SA simulations, which reuse some tasks from the protein-ligand complex FEP workflow. All three approaches share the initial system-building step (light blue) and converge at the final result-gathering stage to report the binding free energy, ∆ G bind .;;;;1;;;Diagram
331;10.1101_2025.09.12.675721.json;"Figure 5. Comparison of CD spectra of WT, 3D1, 3D2, and 6D Nps. Shaded regions show total propagated error for each spectrum after three independent measurements, and the inset table shows the intensity ratio at wavelengths 222 nm and 208 nm with propagated error. Two spectra per plot are shown for ease of comparison among all four proteins. Orange, WT; teal, 3D1; brown, 3D2; purple, 6D. A: WT and 3D1 Np; B: WT and 3D2 Np; C: WT and 6D Np; D: 3D1 and 3D2 Np; E: 3D1 and 6D Np; F: 3D2 and 6D Np.";;1;;;;;Plot
332;10.1101_2023.11.14.566925.json;Figure 4. LSECs and KCs support iron recycling by removing hemolysis products from the spleen. (A-D) Mice were administered i.v. with (A-B) stressed GFP +;;1;;;;;Plot
333;10.1101_2025.06.24.661403.json;Fig. 5 Illustration of two of the four conflict stimuli. Recall that participants felt disks laterally along the horizontal axis. A) The -3 conflict stimulus (shaded) has a horizontal extent equivalent to that of a -3 mm radius disk, and a curvature equivalent to that of a +3 mm radius disk, relative to a 10 mm radius circular disk. B) The +3 conflict stimulus has a horizontal extent equivalent to that of a +3 mm radius disk, and a curvature equivalent to that of a -3 mm radius disk, relative to a 10 mm radius circular disk.;;;;1;;;Diagram
334;10.1101_2024.03.13.584141.json;Fig.1. Measuring and modeling the perceptual similarity of geometric shapes. ( A ) The eleven quadrilaterals used throughout the experiments (colors are consistently used in all other figures). (B) Sample displays for the behavioral visual search task used to estimate the 11x11 shape similarity matrix. Participants had to locate the deviant shape. The right insert shows two trials from the behavioral visual task search task, used to estimate the 11x11 shape similarity matrix. Participants had to find the intruder within 9 shapes. (C) Multidimensional scaling of human dissimilarity judgments. ( D ) The behavioral dissimilarity matrix (left) was better captured by a symbolic coding model (middle) than by a convolutional neural network (right). The graph at right shows the GLM coefficients for each participant.;;1;;1;;;Plot+Diagram
335;10.1101_2025.01.17.633399.json;Supplementary Figure S2: Redundant and accessory motifs discovered for FOXA1. Scatter plots for (A) redundant and (B) accessory motifs found for FOXA1 via NoPeak. High-quality ASBs are coloured in blue. CAR (x-axis) is the corrected allelic;;1;;;;;Plot
336;10.1101_2025.08.30.673206.json;Figure 2: Components of the Esperdyne device: (1) 128x32 OLED Display, (2) Perforated PCB (3) Tactile push buttons (for control), (4) Power On/Off Switch (5) microSD card, (6) SD Card Module, (7) Knowles MEMS Microphones with leads (I2S input), (8) WM8782 I2S ADC, (9) ESP32-S3 main controller board with USB-C and PSRAM, (10) Rotary encoder with push-button, (11) PCM5102A stereo DAC breakout board, (12) Set of brass hex nuts and screws for mounting, (13) LiPo battery (1000 mAh), (14) Terminal block for battery input, (15) LiPo battery charging module (with protection), (16) USB-C Port for battery charging connection. See Appendix A for material cost and sources.;;;1;;;;Photo
337;10.1101_2025.01.27.635038.json;Fig. 3: Heatmap of the difference in mutation frequencies between each spectrum obtained for the knockout of a specific gene and the geometric mean of the pseudo-control spectra selected by MUSICiAn, per mutation category and target site. Shown are the top 100 genes with the highest MUSICiAn outlier score across target sites (3 for MUSIC, denoted T1-T3, and 1 for Repair-seq). The horizontal axis represents genes. The vertical axis represents mutational outcomes, coloured by target site. Data was clustered on both dimensions, genes and mutation categories, using hierarchical clustering with Ward cluster linkage and distance between spectra based on Pearson's correlation coefficient.;;1;;;;;Plot
338;10.1101_2025.06.04.657787.json;Figure 3 : Results of the bootstrap analysis demonstrating the distribution of Intraclass Correlation Coefficients (ICC 2,1) for visual inspection compared to accelerometry (Yellow) and electromyography (Blue). Violin plots represent the full distribution of ICC values with the dot representing the mean and vertical line the 95%CI, while box plots indicate the median, interquartile range, and overall dispersion. Each dashed line represents the reliability threshold based on Koo and Li (2016).;;1;;;;;Plot
342;10.1101_2025.08.19.671129.json;Figure 7. IRP1 deficiency stimulates insulin signaling. (A) Western blot analysis of phospho-Akt, Akt, IRP1 and β-actin in primary hepatocytes from Irp1 -/-and wild type mice either left untreated, or previously treated with 10 nM insulin for 5 min. (B) Western blot analysis of phospho-Akt, Akt, IRP1 and β-actin in;;1;;1;;;Plot+Diagram
343;10.1101_2025.04.13.648583.json;Fig. 3. Simulated SEM and Size Distribution of Nano capsules;;;1;;;;Photo
345;10.1101_2024.10.25.620274.json;Figure 4: Expression of the incompatible CD4 co-receptor in cytotoxic T cells enhances ligand discrimination. (A) (Left) Schematic of CD4 expression in cytotoxic T cells and flow cytometry staining of CD4 expression. (Right) Schematic of CD8 → CD4 co-receptor switch T cells and flow cytometry staining of CD4 and CD8 expression. (B) U87 cells were titrated with each of the 7 NY-ESO-1 peptides to stimulate (Top) WT or CD4 expressing cytotoxic T cells or (Bottom) WT or CD8 → CD4 co-receptor switch cytotoxic T cells. Target killing was measured after 20 hours. (C) The fold change in Potency (P15) between the indicated modified and WT cytotoxic T cells over TCR/pMHC affinity (KD). Data for CD8 KO is shown from Fig 1. Data in (A) and (B) are representative of N=3 independent experiments with different blood donors. Data in (C) is shown as means ± SDs. P values were determined by F-test. *p < 0.05, ****p < 0.0001.;;1;;1;;;Plot+Diagram
346;10.1101_2025.03.20.644192.json;Figure 4: SidBait identifies CapZ as a binding partner of the Legionella effector RavB.;;1;;1;;;Plot+Diagram
348;10.1101_2025.01.20.633902.json;Figure 1: Scube2-mediated Shh solubilization requires Disp and A10. A) Experimental setup. HEK293 cells with or without Disp and A10 function were co-transfected with Shh/Hhat and in the presence or absence of Scube2. Cells were grown in DMEM containing 10% FCS for a total of 36 hours before serum-containing medium was aspirated and fresh medium without serum was added for 6 hours (serum-depleted conditions). Proteins secreted into the media were TCA precipitated and the corresponding cells were lysed directly on the plate for subsequent analysis by SDSPAGE/immunoblotting or RP-HPLC. B) Shh solubilization from Disp-expressing HEK cells (arrowhead) requires Scube2, and Shh release from Disp -/-cells is severely impaired. m: media, c: Shh from the corresponding cell lysate (asterisk). Bent arrows indicate Shh solubilization from cells into corresponding media in this and in all subsequent experiments. See Supplementary Figure1A for specificity and loading controls. B') Quantification of relative Shh release from HEK and Disp -/-cells in the presence of Scube2. Only solubilized Shh with increased electrophoretic mobility (lower bands) was quantified using ImageJ.;;1;;1;;;Plot+Diagram
350;10.1101_2025.11.19.689351.json;Figure 2. CX-5461 and BMH-21 synergize at low to moderate doses. Reported values and points represent the average of three biological replicates composed of four technical replicates each. Error bars represent the standard error of the mean. (A) Synergy scores of all CX-5461 and BMH-21 dose combinations. Loewe additivity, Bliss independence, zero-interaction potency (ZIP), and highest single-agent (HSA) reference scores were calculated using SynergyFinder Plus to evaluate synergy. Synergy scores represent the difference between the observed viability and predicted viability estimated by each reference model, with positive (red) values representing enhanced viability reduction and synergy. Serum concentrations of CX-5461 achievable in clinical trials are bolded. Synergy scores which significantly deviated (p < 0.05) are outlined and scores which nearly met significance (p < 0.1) are bolded. Significance was determined using one-sample two-tailed t-test. (B) Viability of MCF-7 cells treated with the most synergistic doses of CX-5461 and BMH-21. The red dashed line represents the viability of combined treatment predicted by the Loewe additivity reference model. Cell viabilities were compared using RM one-way A NOVA with Dunnett's multiple comparisons te st. Cell viability following combination therapy was compared to the predicted viability using one-sample two-tailed ttest, with p-value < 0.05 (*) and not significant (n.s.) indicated. (C) Viability of MCF-7 cells treated with the most antagonistic doses of CX-5461 and BMH-21, as in (B). (D) CX-5461 dose-viability relationship of cells treated with varying doses of BMH-21. Cell viabilities were normalized to the viability of cells receiving the same dose of BMH-21 without CX-5461.;;1;;;;;Plot
351;10.1101_2024.09.09.612073.json;Figure 5: Ablations reveal complementary roles of place code and barcode activity in memory recall. A. Left, as in Figure 4C, bottom, but for the 'Place Code Only' model (barcode-ablated), which has recurrent weights initalized with µ = 0 , σ = 0 . Right, same, but for the 'Barcode Only' model (place-ablated). The barcode only model is the same as the full model, but place inputs are uncorrelated for nearby locations. B. Left, as in Figure 4D, bottom, but for the place code only model. Right, the same but for the barcode only model (for visual clarity, the matrix is downsampled to remove zero-value rows). The place code only model has similar outputs for recall from all current locations. The barcode only model has no place output for recall from most locations. C. As in Figure 4E, but showing the full model (solid line), the place code only model (dotted line), and the barcode only model (dashed line). For all models, s = 0 . The place code only model is unable to discriminate between nearby caches. D. As in Figure 4F, with lines as in (C). For all models, s = 0 . 4 . The barcode only model recalls successfully only when the current location contains a cache. Only the full model reliably recalls remote cache locations.;;1;;1;;;Plot+Diagram
352;10.1101_2025.02.16.637469.json;Fig. 3 | Experimental setup and procedure in Experiment 2 . a , Setup for the EEG experiment. b , Procedure for body ownership and simultaneity judgment tasks. The visuotactile stimulation remained consistent across both tasks, with asynchronies varying across trials between 0 ms, ±100 ms, ±200 ms, ±300 ms, and ±400 ms.;;;;1;;;Diagram
354;10.1101_2025.05.15.654300.json;Fig. S3. Isotonitazene conformers docked to the HMH library member with the largest allowable pocket volume (smallest amino acid contained in library at each position).;;;;1;;;Diagram
355;10.1101_2024.12.19.629375.json;Fig. 2. Global analysis of class B1 GPCR interactions with the regulatory lipids cholesterol, PI(4,5)P2 and GM3. Lipid occupancy ( A ), lipid contact ( B ) and lipid residence time ( C ) is shown for each class B1 GPCR as a function of ECD, helix, and loop number. Helix 1e denotes the extracellular half of Helix 1, and Helix 1i the intracellular half. Active states are denoted by _a, and inactive by _i. Per residue lipid occupancies were computed using PyLipID ( 29 ) and summed over the constituent residues of each region. Occupancies were computed over 3 x 9.8 µs of production run simulation time. The residue ranges defining each region correspond to those from GPCRdb ( 30 ).;;1;;;;;Plot
357;10.1101_2025.05.03.651968.json;Figure 4: Regularization of cortical folding measures. (A) Resampling of the native FreeSurfer midthickness surface to a standardized 164k-vertex mesh. (B) Surface-based smoothing of the midthickness geometry. (C) Smoothing of curvature measures, illustrated here with the maximum principal curvature.;;;;1;;;Diagram
358;10.1101_2024.11.20.624446.json;Figure S2 fMRI Paradigm and Stimuli.;;;;1;;;Diagram
359;10.1101_2025.03.09.641748.json;Figure 4: In vitro Inhibition Data ( A ) Schematic for the reaction of cPLA2 on membrane phospholipid to release AA. The released AA is converted to PGE2 by COX enzymes. ( B ) Preliminary cPLA2 in vitro activity screens of the first and third generation of small molecules. Each square is the cPLA2 in the presence of inhibitor relative to control (no inhibitor). ( C ) Progression of iterative structure optimization id tro he on;;1;;1;;;Plot+Diagram
360;10.1101_2025.02.13.638127.json;"Figure 6. Glycoside hydrolase (GH) carbohydrate-active enzymes (CAZymes) involved in mucin degradation that are seasonally enriched in Late Winter compared with Summer squirrels. Displayed counts represent DESeq2-normalized counts that were Hellinger-transformed. Darker colors indicate higher counts and lighter colors indicate lower counts. T-test results: GH20 P=0.0043; GH33 P<0.0001; GH84 P=0.0048; GH85 P=0.0027; GH109 P=0.0051. N=6 for Summer, N=5 for Later Winter.";;1;;;;;Plot
365;10.1101_2025.06.13.659272.json;Fig 6 (A-H) Characterization of TNBC derived stem-like cells. Immunofluorescence imaging of TNBC stem-like cells (AF) Tumorspheres indicate presence of stemness markers SOX2, OCT4 and EpCAM. DAPI is used as a nuclear stain. SOX2 is tagged with FITC dye and thus emits green fluorescence, OCT4 is indicated in red (AlexaFluor 647) and EpCAM is marked by yellow dye (PE). Scale bar is 10um. Expression levels of stemness marker genes SOX2, ALDH1 and ABCG2 in TNBC and Cancer stem-like cells (CLSC) by qRT-PCR (G) Representative immunoblot showing expression levels of SOX2 in TNBC tumorspheres and cancer cells. GAPDH was used as positive control (H) -in. M nd on;;1;1;;;;Plot+Photo
367;10.1101_2025.08.26.672515.json;S1 Fig. Dissociation and amplification curves for validation and specificity of the primers synthesized for qPCR. (A). IL1β, (B) TNF α, (C) IL-10.;;1;;;;;Plot
368;10.1101_2025.03.06.641943.json;Figure 3. Membrane association does not trigger the activation of Arr2. A. Schematic illustrating how the DEER distance change corresponds to the relative position between the Arr2 C-terminus and N-domain. The inset shows the positions of the A12C and A392C pair on Arr2 (PDB entry 1G4M), with the C  atoms shown as yellow spheres. B, C. DEER distance distribution of Arr2-12/392 in the absence or the presence of p-Rho* ( B ) or the POPC, POPS, POPG, and PI(4,5)P2 nanodiscs (ND) ( C ).;;1;;1;;;Plot+Diagram
369;10.1101_2023.09.05.556329.json;Figure 4: Scd6 forms puncta upon oxidative stress. (a) Live cell imaging of WT cells transformed with PRS316 Scd6GFP plasmid in untreated, 4mM H2O2 treated and Recovery conditions (b) Quantification for the Scd6GFP puncta formation in (a), (c) Live cell imaging for the localization of Scd6 upon 4mM H 2 O2 and CHX treatment (d) Quantification for Scd6GFP puncta formation showing upon 4mM H 2 O2 and CHX treatment '*' represents the significance which was calculated using two-tailed paired t-test (n=3).;;1;1;;;;Plot+Photo
370;10.1101_2025.09.29.679248.json;"Figure 5 ) Histograms for two situations and corresponding baselines. Here and in the following: when a diagram is labeled ""Object"" (panels A,C) it represents the gazes at that particular object that is being manipulated during this episode and similarly for 'Destination' (see next Figure) of where that object wa s put down. Histograms are calculated to represent the number of fixations onto object or destination over all participants and all objects/destinations, where the ordinate is normalized by the number of episodes analyzed (see Method section). On the right side, a schematic shows the table configuration looks like at the given moment in time and also what happens for Leader and Follower (touching an object, untouching the object after placing it at a new destination). Hence, panel (A) left side shows the situation where the Leader touches an object (pictogram of the small red disk) and the histogram(s) show the start of the Leader's hand movement (black) and as indicated by the eye pictogram -the statistics of the Leader's gazes at this object (blue). Diagrams are labeled by different action -as well as inactivity -intervals (numbers and orange, green markers).";;1;;1;;;Plot+Diagram
371;10.1101_2025.06.05.658010.json;Figure 5. Model Performance Comparison between Hybrid Model, ADMET 3.0, and SwissADME across two key metrics: AUC and AUPR for CYP3A4 and CYP1A2 isoforms.;;1;;;;;Plot
372;10.1101_2025.01.17.633623.json;"Figure S2: Supporting information for Figure 2. A) Amplitudes reported by DryR for each gene class) * p<0.05, ** p<0.01, Kruskal-Wallis test (Uncorrected Dunn's-test). B) KEGG Pathway Enrichment Analysis (DAVID) for indicated gene classes. C) Expression of indicated genes in skeletal (gastrocnemius) muscle isolated from WT and hepatocyte specific Bmal1 KO (Bmal1 hep-/) mice (n=3 male mice per genotype per timepoint), FPKM; Fragments Per Kilobase of transcript per Million mapped reads, ZT; zeitgeber time.";;1;;;;;Plot
374;10.1101_2023.07.21.550102.json;"Fig. 2 : Behavioral effects of affordance during value learning and decision making. Upper-row plots show results from the behavioral study while the lower-row plots are from the fMRI study. (a and f). RTs were faster when the response was compatible with the affordance compared to when it was incompatible (pairedt tests; t (18) = 3 . 62 for the behavioral, t (29) = 4 . 68 for the fMRI experiment). RTs for each trial were averaged for each participant and trial types and the dots represent individual participants. (b an g) Initial responses to objects were significantly biased toward affordance-compatible actions. ( t tests; t (18) = 2 . 62 for the behavioral, t (29) = 4 . 48 for the fMRI experiment). Dots represent the average frequencies for each participant and the red line is the chance level 1/3. (c and h) Correlations between the RT effect and the frequency of choosing affordance-compatible actions. (Pearson r ) Dots represent each participant. (d and i) Learning curves averaged across blocks by experimental conditions. The star annotation presents the statistical significance of those difference between congruent and incongruent conditions in each trial (permutation tests; 5000 iterations each; *: p < 0 . 05 Bonferroni corrected) (e and j) Learning slopes averaged across blocks can be analyzed as a function of the number of rewarded trials. The gray lines in D,I,E and J show the choice accuracy difference between congruent and incongruent conditions. All the errorbar shows 95% interval of estimated statistics.";;1;;;;;Plot
375;10.1101_2025.10.06.680657.json;Figure 2: Force-time curves for (a,c) vimentin and (b,d) actin networks obtained from AMR experiments (protocol 1). (a,b) Individual measurements for a maximum displacement s max of 5 µ m at a velocity ˙ s of 5 µ m/s. Each curve stems from a different bead within the same network. In (b) the inset shows zoomed versions of the same data for better visibility. (c,d) Average force-time curves for different displacements s max and velocities ˙ s (see legend for color code and SM, Fig. S3 for the corresponding individual measurements).;;1;;;;;Plot
376;10.1101_2024.10.29.620954.json;Fig S1 - The number of pathways within each hierarchy level.;;1;;;;;Plot
378;10.1101_2024.12.03.626557.json;"Figure 1. The crawling motor pattern. A. Schematic description of a leech crawling step that results from coordinated waves of elongation (i-ii) and contraction (iii-iv) phases, anchored on front and rear suckers. B. Intracellular recording of CV and extracellular recording of DE-3 (in DP nerve) motoneurons during a dopamine-induced crawling episode in an isolated midbody ganglion. Recording diagram on the left. C. Putative neuronal circuitry underlying crawling and the recurrent inhibitory circuit in a midbody ganglion. Units C and E correspond to contraction and elongation units of the segmental oscillator, respectively. DE-3 and CV are examples of motoneurons involved in each phase. NS neuron is connected to DE-3 and CV (Rela and Szczupak, 2003; Rodriguez et al., 2009) through chemical and electrical synapses; the + and - symbols indicate the polarity at which the rectifying synapse conducts.";;;;1;;;Diagram
380;10.1101_2024.04.02.587830.json;Figure 6. Malate signaling is mediated by on G-proteins.;;1;;;;;Plot
382;10.1101_2025.07.23.666348.json;"1472 Figure 9. Low resolution images of nuclear expression of VT019028-GAL4-DBD in 1473 combination with TRH-AD and AbdB-AD in Drosophila male and female adult nervous 1474 system relative to 5-HT and Tdc2. A-D) nuclear expression using HIS2A-GFP marker. 1475 A) male VT019028-GAL4-DBD / TRH-AD ; B) female VT019028-GAL4-DBD / TRH-AD ; C) 1476 male VT019028-GAL4-DBD / AbdB-AD ; B) female VT019028-GAL4-DBD / AbdB-AD . E1477 H) 5-HT expression. E) male VT019028-GAL4-DBD /TRH-AD; F) female VT0190281478";;;1;;;;Photo
383;10.1101_2025.07.05.663288.json;Figure 3: Visually evoked 5-Hz oscillations in V1 and their dynamic changes following treatment with 5-HT2AR agonist. a : Trial averaged V1 population membrane voltage activity (shading represents SEM) before ( i-ii ) and after ( iii-iv ) treatment of the 5-HT2AR agonist (TCB2 in this example). b : Time-resolved spectral analysis of the evoked oscillations shown in a-i . Time zero indicates onset of visual stimulus. c : Same as b after drug treatment ( a-iii ), showing an increase in both duration and amplitude of 5-Hz oscillations. d : Duration of oscillations before and after treatment comparing the mean across all experiments (indicated inside, *, p-value = 0.0144, paired t test) and individual trials (indicated outside, ***, p-value = 1.35e-06, Welch's t-test, nbefore = 109 and nafter = 189). Data based upon N = 7 experiments in 5 mice, symbol shape indicates individual mouse experiments. e : Same as d , for mean oscillatory power across all experiments (indicated inside, *, pvalue=0.0410, paired t test) and individual trials (indicated outside, ***, p-value=7.11e-04, Welch's t-test).;;1;;1;;;Plot+Diagram
385;10.1101_2025.08.29.672906.json;Fig. 6: Viral proteomic tree of streptococcal phages, including full-length prophages identified in this study. Tip nodes are annotated by shape and colour to indicate the species of the host bacterium, with S. suis shown in red circle, S. thermophilus in green circle, and other streptococcal species in additional shapes and colours. The inner ring indicates source of phages, including S. suis prophages identified in this study (red), S. suis prophages from other studies (black), and all other non-S. suis streptococcal phages from other studies (grey). The outer ring represents the lowest viral taxonomic classification, including the genus Vansinderenvirus (orange). Although most S. thermophilus phages (green circle tip node) from distinct clades, members of Vansinderenvirus cluster more closely with several S. suis phages (red circle tip nodes) than with other S. thermophilus phages, despite the relationship being relatively distant overall.;;;;1;;;Diagram
